pk_product_id,pk_variant_id,variant_name,variant_unit,variant_unit_price,variant_description,warehouse_quantity,shelf_quantity
33,2,"Blueberries Bulk","lb",5.99,"Bulk blueberries for baking",60,5
34,1,"Rye Bread Loaf","Loaf",3.49,"Loaf of hearty rye bread",80,10
34,2,"Rye Bread Sliced","Sliced Loaf",3.99,"Sliced rye bread loaf",85,10
35,1,"Croissants Pack of 6","Pack",4.99,"Pack of 6 fresh-baked croissants",70,15
35,2,"Croissant Single","Each",0.99,"Single buttery croissant",150,40
36,1,"Plain Bagels Pack","Pack",3.49,"Pack of 6 chewy plain bagels",90,15
36,2,"Everything Bagel","Each",0.69,"Single 'everything' flavored bagel",110,30
37,1,"Chocolate Chip Cookies Dozen","Dozen",3.99,"Dozen of classic chocolate chip cookies",60,15
37,2,"Chocolate Chip Cookie Single","Each",0.33,"Single chocolate chip cookie",180,50
38,1,"Pretzels Large Bag","Bag",2.49,"Large bag of salty pretzels",100,25
38,2,"Pretzels Snack Pack","Pack",0.99,"Snack pack of crunchy pretzels",200,60
39,1,"Almonds Roasted","Bag",6.99,"Roasted almonds bag",80,20
39,2,"Almonds Raw","lb",7.99,"Raw almonds bulk",50,10
40,1,"Olive Oil 500ml","Bottle",5.99,"500ml bottle of extra virgin olive oil",100,20
40,2,"Olive Oil 1L","Bottle",10.99,"1L bottle of extra virgin olive oil",50,10
41,1,"Balsamic Vinegar 250ml","Bottle",4.99,"250ml bottle of aged balsamic vinegar",80,20
41,2,"Balsamic Vinegar 500ml","Bottle",8.99,"500ml bottle of aged balsamic vinegar",40,10
42,1,"Sea Salt Grinder","Each",2.99,"Grinder with natural sea salt",120,30
42,2,"Sea Salt Bulk","lb",1.99,"Bulk natural sea salt",60,15
43,1,"Pepperoni Pizza Large","Box",7.99,"Large ready-to-bake pepperoni pizza",50,10
43,2,"Pepperoni Pizza Personal","Box",3.99,"Personal size pepperoni pizza",80,20
44,1,"Ice Cream Vanilla","Pint",3.49,"Vanilla ice cream pint",130,25
44,2,"Ice Cream Chocolate","Pint",3.49,"Chocolate ice cream pint",130,25
45,1,"Frozen Peas 1lb","Bag",1.99,"1lb bag of frozen green peas",100,20
45,2,"Frozen Peas 2lb","Bag",3.49,"2lb bag of frozen green peas",60,15
46,1,"Granola Bars Small Pack","Pack",2.99,"Small pack of 5 granola bars",120,25
46,2,"Granola Bars Large Box","Box",4.99,"Large box containing 12 granola bars",80,15
47,1,"Rice Cakes Original","Pack",1.99,"Original flavor rice cakes",150,35
47,2,"Rice Cakes Apple Cinnamon","Pack",2.49,"Apple cinnamon flavor rice cakes",100,20
48,1,"Peanut Butter Smooth","Jar",3.49,"Smooth peanut butter in a jar",110,30
48,2,"Peanut Butter Crunchy","Jar",3.49,"Crunchy peanut butter in a jar",120,30
49,1,"Honey Bottle Small","Bottle",4.99,"Small bottle of natural honey",90,20
49,2,"Honey Bottle Large","Bottle",7.99,"Large bottle of natural honey",60,15
50,1,"Canned Tomatoes Diced","Can",1.29,"Diced canned tomatoes",200,50
50,2,"Canned Tomatoes Whole","Can",1.29,"Whole canned tomatoes",180,40
51,1,"Canned Tuna in Water","Can",1.49,"Chunk light tuna in water",160,40
51,2,"Canned Tuna in Oil","Can",1.69,"Chunk light tuna in oil",150,35
52,1,"Spicy Salsa Jar","Jar",2.99,"Jar of zesty salsa with a kick",130,30
52,2,"Spicy Salsa Bulk","lb",5.99,"Bulk zesty salsa for catering",50,10
53,1,"BBQ Sauce Bottle","Bottle",2.99,"Rich and smoky BBQ sauce",120,20
53,2,"BBQ Sauce Squeeze","Bottle",3.49,"Squeeze bottle of BBQ sauce",100,25
54,1,"Mustard Classic","Bottle",1.99,"Classic yellow mustard bottle",140,40
54,2,"Mustard Spicy Brown","Bottle",2.29,"Spicy brown mustard bottle",120,30
55,1,"Ketchup Bottle","Bottle",2.49,"Tomato ketchup bottle",160,35
55,2,"Ketchup Squeeze Pack","Pack",0.99,"Squeeze pack of tomato ketchup",200,60
56,1,"Soy Sauce Bottle Small","Bottle",2.99,"Small bottle of traditional soy sauce",130,25
56,2,"Soy Sauce Bottle Large","Bottle",5.49,"Large bottle of traditional soy sauce",70,15
57,1,"Green Olives Jar","Jar",3.99,"Jar of pitted green olives",110,20
57,2,"Green Olives Bulk","lb",6.99,"Bulk pitted green olives",50,10
58,1,"Black Beans Can","Can",1.49,"Can of ready-to-use black beans",180,45
58,2,"Black Beans Dry Bulk","lb",2.49,"Bulk dry black beans",60,15
59,1,"Coconut Water Small","Bottle",1.99,"Small bottle of hydrating coconut water",120,30
59,2,"Coconut Water Large","Bottle",3.49,"Large bottle of hydrating coconut water",80,20
60,1,"Soy Milk Carton","Carton",2.99,"Carton of dairy-free soy milk",130,25
60,2,"Soy Milk Bottle","Bottle",4.99,"Bottle of dairy-free soy milk",90,20
